,farm_id,number,date,leafLength,leafWidth
0,tom1,051,20220101,,
1,tom1,052,20220101,,
2,tom1,052,20220101,,
3,tom1,054,20220101,,
4,tom1,056,20220101,,
5,tom1,056,20220101,,
6,tom1,056,20220101,,
7,tom1,057,20220101,,
8,tom1,059,20220101,,
9,tom1,059,20220101,,
10,tom1,060,20220101,,
11,tom1,061,20220101,,
12,tom1,062,20220101,,
13,tom1,063,20220101,,
14,tom1,067,20220101,,
15,tom1,069,20220101,,
16,tom1,069,20220101,,
17,tom1,071,20220101,,
18,tom1,074,20220101,,
19,tom1,075,20220101,,
20,tom1,075,20220101,,
21,tom1,075,20220101,,
22,tom1,078,20220101,,
23,tom1,079,20220101,,
24,tom1,079,20220101,,
25,tom1,079,20220101,,
26,tom1,081,20220101,,
27,tom1,082,20220101,44.35,48.5
28,tom1,086,20220101,,
29,tom1,086,20220101,,
30,tom1,090,20220102,,
31,tom1,100,20220102,,
32,tom1,100,20220102,,
33,tom1,061,20210909,39.82,29.42
34,tom1,062,20210909,,
35,tom1,064,20210909,,
36,tom1,064,20210909,,
37,tom1,065,20210909,,
38,tom1,067,20210909,,
39,tom1,068,20210909,,
40,tom1,070,20210909,,
41,tom1,071,20210908,,
42,tom1,072,20210908,,
43,tom1,075,20210908,,
44,tom1,076,20210908,,
45,tom1,080,20210908,,
46,tom1,081,20210908,,
47,tom1,082,20210908,,
48,tom1,083,20210908,,
49,tom1,085,20210908,,
50,tom1,086,20210908,,
51,tom1,087,20210908,,
52,tom1,089,20210908,,
53,tom1,091,20210908,,
54,tom1,093,20210908,,
55,tom1,096,20210908,,
56,tom1,098,20210908,,
57,tom1,100,20210908,,
58,tom1,001,20210930,,
59,tom1,002,20210930,,
60,tom1,003,20210930,,
61,tom1,004,20210930,,
62,tom1,005,20210930,,
63,tom1,006,20210930,,
64,tom1,007,20210930,,
65,tom1,008,20210930,,
66,tom1,009,20210930,,
67,tom1,010,20210930,,
68,tom1,011,20210930,,
69,tom1,012,20210930,,
70,tom1,014,20210930,,
71,tom1,016,20210930,,
72,tom1,017,20210930,,
73,tom1,018,20210930,,
74,tom1,019,20210930,,
75,tom1,020,20210930,,
76,tom1,021,20210930,,
77,tom1,022,20210930,51.5,36.81
78,tom1,023,20210930,,
79,tom1,024,20210930,,
80,tom1,025,20210930,,
81,tom1,026,20210930,,
82,tom1,027,20210930,,
83,tom1,029,20210930,,
84,tom1,032,20211002,,
85,tom1,034,20211002,,
86,tom1,035,20211002,,
87,tom1,037,20211002,,
88,tom1,038,20211001,,
89,tom1,041,20211001,,
90,tom1,043,20211001,,
91,tom1,044,20211001,,
92,tom1,045,20211001,,
93,tom1,046,20211001,,
94,tom1,047,20211001,,
95,tom1,048,20211001,,
96,tom1,050,20211001,,
97,tom1,051,20211001,,
98,tom1,054,20211001,,
99,tom1,056,20211001,,
100,tom1,057,20211001,,
101,tom1,058,20211001,,
102,tom1,058,20211001,,
103,tom1,059,20211001,,
104,tom1,060,20211001,,
105,tom1,061,20211002,,
106,tom1,062,20211002,,
107,tom1,063,20211002,,
108,tom1,064,20211002,,
109,tom1,066,20211002,,
110,tom1,067,20211002,,
111,tom1,068,20211002,,
112,tom1,071,20211002,,
113,tom1,072,20211002,,
114,tom1,073,20211002,,
115,tom1,074,20211002,,
116,tom1,075,20211002,,
117,tom1,076,20211002,,
118,tom1,080,20211002,,
119,tom1,081,20211002,,
120,tom1,082,20211002,,
121,tom1,083,20211002,,
122,tom1,085,20211002,,
123,tom1,087,20211002,,
124,tom1,089,20211002,,
125,tom1,090,20211002,,
126,tom1,091,20211002,,
127,tom1,094,20211002,,
128,tom1,095,20211002,,
129,tom1,096,20211002,,
130,tom1,098,20211002,,
131,tom1,099,20211002,,
132,tom1,100,20211002,,
133,tom1,002,20211006,,
134,tom1,003,20211006,,
135,tom1,007,20211006,,
136,tom1,011,20211006,,
137,tom1,018,20211006,,
138,tom1,020,20211006,,
139,tom1,021,20211007,,
140,tom1,022,20211007,,
141,tom1,023,20211007,,
