title,link
"[농협 삼척시지부, 원덕서 '농업인 행복버스' 운영]",https://n.news.naver.com/mnews/article/001/0014018391?sid=101
"[정황근 농식품부 장관, 서아프리카 방문해 韓 농업기술 전파]",https://n.news.naver.com/mnews/article/011/0004205987?sid=101
[국가 예산 대비 농업예산 5% 확보하라!],https://n.news.naver.com/mnews/article/003/0011928929?sid=102
"[농식품부, 배수개선 사업지 32만㏊로 확대… 농업생산기반 정비계획 발표]",https://n.news.naver.com/mnews/article/088/0000821739?sid=100
"['스마트 강소농' 육성 본격화…익산시, 농업인 대상 15차례 교육]",https://n.news.naver.com/mnews/article/001/0014029357?sid=102
"[농식품부, 배수개선 사업지 32만㏊로 확대… 농업생산기반 정비계획 발표]",https://n.news.naver.com/mnews/article/088/0000821739?sid=100
"['스마트 강소농' 육성 본격화…익산시, 농업인 대상 15차례 교육]",https://n.news.naver.com/mnews/article/001/0014029357?sid=102
"[강원특별자치도농업기술원, 고랭지감자 농가에 역병 방제 당부]",https://n.news.naver.com/mnews/article/087/0000979810?sid=102
"[강원특별자치도농업기술원, 고랭지감자 농가에 역병 방제 당부]",https://n.news.naver.com/mnews/article/087/0000979810?sid=102
"[[포토뉴스]강원농협, 결혼이민여성 일대일 맞춤형 농업교육 워크숍]",https://n.news.naver.com/mnews/article/087/0000979755?sid=004
"[[인터뷰] “보훈·농업, 국가안보·식량안보와 직결”]",https://n.news.naver.com/mnews/article/662/0000023194?sid=100
"[영양군, 2024년 농업기술특화시범사업 참여 농업인 공모]",https://n.news.naver.com/mnews/article/002/0002291307?sid=102
"[전남도, 여름철 농업재해 예방 대책 수립]",https://n.news.naver.com/mnews/article/016/0002160496?sid=102
"[[민선8기 1년] 김태흠 충남지사 ""임기 내 청년농업인 3천명 육성""]",https://n.news.naver.com/mnews/article/001/0014025069?sid=102
[“농촌 물관리 강화”…배수개선 32만㏊로 확대·농업용수 관리 ICT 활용],https://n.news.naver.com/mnews/article/119/0002724895?sid=101
[농업생산기반 정비 10개년 계획 발표],https://n.news.naver.com/mnews/article/003/0011935220?sid=100
"[[창원소식]경남농협, 이민여성 1대 1 맞춤형 농업교육 등]",https://n.news.naver.com/mnews/article/003/0011934180?sid=102
"[정황근 농림장관, 아프리카 방문...한국 농업기술 전파]",https://n.news.naver.com/mnews/article/029/0002809031?sid=101
"[남양주풍양보건소 치매안심센터, 농업기술센터와 함께 치유농업 프로그램 운영]",https://n.news.naver.com/mnews/article/310/0000108286?sid=102
"[광주농업기술센터, 찾아가는 반려식물병원 운영]",https://n.news.naver.com/mnews/article/003/0011931468?sid=102
"[정황근 장관, 한국 농업기술 전파 통한 아프리카 식량안보 협력 방안 논의]",https://n.news.naver.com/mnews/article/001/0014029228?sid=101
"[""농업소득 두배로""…경북도, '농업 대전환' 나섰다]",https://n.news.naver.com/mnews/article/001/0014010139?sid=102
"[""농업소득 두배로""…경북도, '농업 대전환' 나섰다]",https://n.news.naver.com/mnews/article/001/0014010139?sid=102
"[울주 두북농협, 농업인행복센터 문 열어]",https://n.news.naver.com/mnews/article/662/0000023047?sid=102
"[농식품부, 농업생산 기반 10개년 정비계획 수립 발표]",https://n.news.naver.com/mnews/article/001/0014025839?sid=102
[제주도 후계농업경영인대회 ‘성료’],https://n.news.naver.com/mnews/article/662/0000023121?sid=102
"[농식품부, 농업생산 기반 10개년 정비계획 수립 발표]",https://n.news.naver.com/mnews/article/001/0014026077?sid=102
[제주도 후계농업경영인대회 ‘성료’],https://n.news.naver.com/mnews/article/662/0000023121?sid=102
[전남 해남군 농업분야 기후변화대응 전국 최대규모 연구단지 조성],https://n.news.naver.com/mnews/article/660/0000038319?sid=102
"[우리농업지키기운동본부, 대구시에 4,400만원 상당 농산물 기탁]",https://n.news.naver.com/mnews/article/088/0000821952?sid=004
"[우리농업지키기운동본부, 대구시에 4,400만원 상당 농산물 기탁]",https://n.news.naver.com/mnews/article/088/0000821952?sid=004
[임정은 의원 “전문농업경영인 육성 강화로 경영혁신”],https://n.news.naver.com/mnews/article/002/0002290978?sid=102
"['인강'으로 농업기술 보급… 농진청, 농촌지도사업 디지털화]",https://n.news.naver.com/mnews/article/014/0005033292?sid=101
"[태백시, 농업인단체와 간담회 개최]",https://n.news.naver.com/mnews/article/087/0000979430?sid=102
"[쑥쑥 자라는 부산농업, 비결이 궁금하면 ‘오이소’]",https://n.news.naver.com/mnews/article/014/0005031909?sid=102
"[2027년까지 스마트농업, 푸드테크에 민간자본 5조 투자]",https://n.news.naver.com/mnews/article/009/0005147321?sid=101
"[영광군, 농업인 대상 여름철 현장영농 기술교육 추진]",https://n.news.naver.com/mnews/article/002/0002290927?sid=102
